"Category","Case","Title","Status","Backlog Order","Story Points","Assigned To","Area","Priority","Milestone","Date Resolved","User Story","Release Notes","Title"
"Bug",183368,"Inconsistent display of the name of a person logged into Beta Marketplace ","Resolved (By Design)",,0,"Angel Morgan","Customer View","3 – Must Fix","NexMarket v1.0.0","01/09/2025 1:26 PM","case 179095",,"Inconsistent display of the name of a person logged into Beta Marketplace  - See case 183968 for alternative solution."
"Bug",183374,"Inconsistent Null Null value for name","Resolved (By Design)",,0,"Angel Morgan","Customer View","3 – Must Fix","NexMarket v1.0.0","01/09/2025 1:26 PM",,,"Inconsistent Null Null value for name - See case 183968 for alternative solution."
"Bug",198061,"Discrepancy between purchases screen and the specific course details screen","Resolved (Not Deployed)",,0,"Angel Morgan","Customer View","3 – Must Fix","NexMarket v1.0.0","07/10/2025 2:29 PM",,,"Discrepancy between purchases screen and the specific course details screen - Since we have already added additional statues and modified the existing workflow, this's currently not applicable."
"Bug",197147,"Redeem and Assign options that were present now missing","Resolved (Not Reproducible)",,0,"Angel Morgan","Customer View: My Orders","3 – Must Fix","NexMarket v1.0.0","12/12/2024 3:05 PM",,,"Redeem and Assign options that were present now missing - The order has been processed and the options are available. There could be an issue with the multisite configuration that would slow down the order processing for that particular store. We will continue monitor the beta sites for additional issues."
"Bug",169621,"Edit Store - Allow Repurchasing Failed/Passed Courses Options do Not Save","Resolved (Not Reproducible)",,0,"Stephen Dykes","Admin: Store","3 – Must Fix","NexMarket v1.0.0","05/11/2023 2:45 PM","Reproduction Steps
* Edit store and navigate to Nexport Sale Model Configuration
* Check/Uncheck the Allow repurchasing failed/passed courses
* Save or Save and Continue Edit

Expected results
* The options are saved

Actual Results
* The options are not saved and revert back to the original state",,"Edit Store - Allow Repurchasing Failed/Passed Courses Options do Not Save - you have to use the save button that belongs to the ""nexport integration configuration"" card not the save button at the top right of the page. It works correctly when the correct save button is used"
"Bug",209566,"Button text should be changed from Unassign to Refund","Resolved (To Production)",,0,"Thai Nguyen","Customer View: My Orders","3 – Must Fix","NexMarket v1.0.0","09/04/2025 4:07 PM",,,"Button text should be changed from Unassign to Refund - The confirmation of the return request contains a plug in message see image  Occurred 1:20 pm User profile:  Mark Horizons (markhorizons25@outlook.com)"
"Bug",215140,"Return request should revert the invoice item status to previous status if the request is denied","Resolved (To Production)",,0,"TQA Lawton","Admin: Order: Refund: Wholesale","3 – Must Fix","NexMarket v1.0.0","10/02/2025 1:39 PM",,,"Return request should revert the invoice item status to previous status if the request is denied - Case tested on Beta and ready for Production through the test process."
"Bug",215132,"Return request status  in Admin view not changing from Pending","Resolved (To Production)",,0,"TQA Lawton","Admin: Order: Refund: Wholesale","3 – Must Fix","NexMarket v1.0.0","10/02/2025 1:33 PM",,,"Return request status  in Admin view not changing from Pending - Case tested on Beta and ready for Production through the test process."
"Bug",215186,"Missing customer field string in approval request listing table","Resolved (To Production)",,0,"TQA Lawton","Admin: Order: Wholesale","3 – Must Fix","NexMarket v1.0.0","09/29/2025 3:00 PM",,,"Missing customer field string in approval request listing table - Case tested on Beta and ready for Production through the test process."
"Bug",209589,"Unable to assign enrollment with Delete Finished option if the user already has an existing enrollment that is in progress","Resolved (To Production)",,0,"TQA Lawton","Customer View: Wholesale: Assignment","3 – Must Fix","NexMarket v1.0.0","09/24/2025 4:28 PM","If the user has an existing enrollment and it's in progress (either Not Started or In Progress), the system would not allow to assign the same enrollment when using Delete Finished Enrollment option",,"Unable to assign enrollment with Delete Finished option if the user already has an existing enrollment that is in progress - Case tested on Beta and ready for Production through the test process."
"Bug",209579,"Unable to unassign if there is a previous un-assignment request","Resolved (To Production)",,0,"TQA Lawton","Customer View: Wholesale: Assignment","3 – Must Fix","NexMarket v1.0.0","09/24/2025 3:10 PM",,,"Unable to unassign if there is a previous un-assignment request - Case tested on Beta and ready for Production through the test process."
"Bug",209462,"Training link should not be display when the student does not have assigned enrollment ","Resolved (To Production)",,0,"TQA Lawton","Customer View: My Orders","3 – Must Fix","NexMarket v1.0.0","09/03/2025 7:04 PM",,,"Training link should not be display when the student does not have assigned enrollment  - Case tested on Beta and ready for Production through the test process."
"Bug",198064,"Failed to refund redemptions in customer wholesale purchases","Resolved (To Production)",,0,"TQA Lawton","Customer View","3 – Must Fix","NexMarket v1.0.0","08/28/2025 3:17 AM",,,"Failed to refund redemptions in customer wholesale purchases - Case tested on Beta and ready for Production through the test process."
"Bug",209302,"Wrong status displayed after a failed refund","Resolved (To Production)",,0,"TQA Lawton","Admin: Order: Refund: Wholesale","3 – Must Fix","NexMarket v1.0.0","08/26/2025 1:21 PM",,,"Wrong status displayed after a failed refund - Case tested on Beta and ready for Production through the test process."
"Bug",208042,"Error occurred when attempting to edit a return request","Resolved (To Production)",,0,"TQA Lawton","Customer View","3 – Must Fix","NexMarket v1.0.0","08/06/2025 3:55 PM",,,"Error occurred when attempting to edit a return request - Case tested on Beta and ready for Production through the test process."
"Bug",171645,"Redeem Purchased Product - Go To NexPort Link is Broken","Resolved (To Production)",,0,"TQA Lawton","Customer View: My Orders","3 – Must Fix","NexMarket v1.0.0","07/24/2025 1:15 PM","The link goes to page not found",,"Redeem Purchased Product - Go To NexPort Link is Broken - Case tested on Beta and ready for Production through the test process."
"Bug",206177,"Invoice items that need approval do not show up within the order detail page","Resolved (To Production)",,0,"TQA Lawton","Misc","3 – Must Fix","NexMarket v1.0.0","07/24/2025 1:18 PM",,,"Invoice items that need approval do not show up within the order detail page - Case tested on Beta and ready for Production through the test process."
"Bug",144663,"Manual Redeem is Interfering with Manual Approval for Extensions","Resolved (To Production)",,0,"TQA Lawton","Admin: Plugin: Mapping","3 – Must Fix","NexMarket v1.0.0","02/21/2024 10:26 PM",,,"Manual Redeem is Interfering with Manual Approval for Extensions - Case tested on Beta and ready for Production through the test process."
"Bug",169789,"Delete Product Mapping Throws Not Found Error","Resolved (To Production)",,0,"TQA Lawton","Admin: Product","3 – Must Fix","NexMarket v1.0.0","09/12/2023 1:44 PM","Reproduction Steps
* Select product mapping checkbox
* Delete product mapping
* Throws error",,"Delete Product Mapping Throws Not Found Error - Tested on beta, ready for production"
"Bug",170290,"Redeem Purchased Product Does Not Work","Resolved (To Production)",,0,"TQA Lawton","Customer View: My Orders","3 – Must Fix","NexMarket v1.0.0","09/12/2023 1:48 PM","Reproduction Steps
* Create a Product w/ product mapping
* Add product to cart from customer facing area
* Purchase product
* Wait for it to process
* Click the ""Redeem"" link

Expected Result
* Redemption info is shown

Actual Results
* Nothing happens, no errors in System -> Log either
* The only thing I see is a ""Unexpected end of input"" console error log (see picture below)",,"Redeem Purchased Product Does Not Work - Tested on beta, ready for production"
"Bug",170293,"Create Mapping is Greyed out for Individual Stores and Not Selectable after Creating Default Mapping","Resolved (To Production)",,0,"TQA Lawton","Admin: Product","3 – Must Fix","NexMarket v1.0.0","09/12/2023 1:52 PM","Reproduction Steps
* Create a Product
* Create a Default mapping

Expected Results
* The Create/edit mapping is selectable after creating a default mapping

Actual Results
* You can only create store specific mappings using the 'Duplicate mapping' btn",,"Create Mapping is Greyed out for Individual Stores and Not Selectable after Creating Default Mapping - Tested on beta, ready for production"
"Bug",170295,"Duplicate Mapping Button Should be Enabled After you Create a Default Mapping","Resolved (To Production)",,0,"TQA Lawton","Admin: Product","3 – Must Fix","NexMarket v1.0.0","09/12/2023 1:51 PM","Reproduction Steps
* Create Product
* Create Default Mapping

Expected Results
* The Duplicate Mapping button should be enabled after you create a default mapping

Actual Results
* You must reload the page to get the Duplicate mapping button to enable.",,"Duplicate Mapping Button Should be Enabled After you Create a Default Mapping - Tested on beta, ready for production"
"Bug",170996,"Create/edit mapping button should change to view/edit if product mapping exists","Resolved (To Production)",,0,"TQA Lawton","Admin: Product Page","3 – Must Fix","NexMarket v1.0.0","09/12/2023 1:52 PM","created mapping with the create mapping button and it still shows create/edit instead of view / edit",,"Create/edit mapping button should change to view/edit if product mapping exists - Tested on beta, ready for production"
"Bug",171148,"Error cart is empty when attempting to purchase for customer","Resolved (To Production)",,0,"TQA Lawton","Admin: Product Page","3 – Must Fix","NexMarket v1.0.0","08/21/2024 2:04 PM","Attempted to perform a purchase for customer from the admin product edit page and received an error message. see below.",,"Error cart is empty when attempting to purchase for customer - Case tested on Beta and ready for Production through the test process."
"Bug",171154,"Error when creating mapping in product for store","Resolved (To Production)",,0,"TQA Lawton","Admin: Product Page","3 – Must Fix","NexMarket v1.0.0","09/12/2023 2:07 PM","tried to create a new mapping to a store in a product. only happens the first time you click create new mapping. after that it works",,"Error when creating mapping in product for store - Tested on beta, ready for production"
"Bug",171217,"Add Group Membership to Product Mapping Does Not Add To Table","Resolved (To Production)",,0,"TQA Lawton","Admin: Customer","3 – Must Fix","NexMarket v1.0.0","09/29/2023 1:29 PM","Reproduction Steps
* Navigate to the product mapping area of a product
* Make sure there is Subscription Organization set otherwise the group membership area won't show up
* Create a sub group in campus under the AlphaMarketplace org
* In the Add New Group Membership form you should be able to search by just typing the org name or shortname into the group id field. It is an autocomplete field
* When you select a group from the autocomplete dropdown it should put the id of that group in the field
* The group name and short name should autofill based on the group id you supply
* Select Add Group Membership

Expected Results
* The group membership should be added to the table above

Actual Results
* Nothing shows up in the group membership table and it is not added.",,"Add Group Membership to Product Mapping Does Not Add To Table - Tested on beta, ready for production"
"Bug",171221,"Product Mapping Last Synchronization Date Shows ToString in Date","Resolved (To Production)",,0,"TQA Lawton","Admin: Plugin: Mapping","3 – Must Fix","NexMarket v1.0.0","08/07/2024 8:39 PM",,,"Product Mapping Last Synchronization Date Shows ToString in Date - Case tested on Beta and ready for Production through the test process."
